Cbench started.
Measure Mode: wall_time
Thread ID: 11802960
Fiber ID: 14782220
Total: 59.631248
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00      0.000     0.000     0.000     0.000      370   Kernel#instance_of?
  0.00      0.004     0.000     0.000     0.003       39   Module#qualified_const_set
  0.00      0.008     0.000     0.000     0.008       24   GLI::DSL#flag
  0.00      0.002     0.000     0.000     0.002      102   Bundler::Index#sort_specs
  0.00      0.006     0.000     0.000     0.005      106   Enumerable#to_set
  0.00      0.004     0.000     0.000     0.003       37   <Class::BinData::BasePrimitive>#inherited
  0.00      0.000     0.000     0.000     0.000      119   Hash#keys
  0.00      0.001     0.000     0.000     0.000       72   <Object::BinData::Struct>#flags
  0.00      0.001     0.000     0.000     0.000        6   ActiveSupport::Inflector::Inflections#irregular
  0.00      0.001     0.000     0.000     0.001       65   Pathname#initialize
  0.00      0.001     0.000     0.000     0.000       83   Bundler::RubygemsIntegration#mark_loaded
  0.00      0.000     0.000     0.000     0.000       62   Symbol#=~
  0.00      0.001     0.000     0.000     0.001       55   Array#extract_options!
  0.00      0.002     0.000     0.000     0.001       82   Bundler::LazySpecification#full_name
  0.00      0.001     0.000     0.000     0.000      102   Bundler::Index#specs_by_name
  0.00      0.002     0.000     0.000     0.001       14   GLI::Command#initialize
  0.00      0.000     0.000     0.000     0.000      349   Array#[]
  0.00      0.001     0.000     0.000     0.000      170  *Array#==
  0.00      0.000     0.000     0.000     0.000      110   String#upcase
  0.00      0.000     0.000     0.000     0.000      218   Kernel#Array
  0.00      0.000     0.000     0.000     0.000      243   String#[]
  0.00      0.015     0.000     0.000     0.014       20   BinData::IntFactory#const_missing
  0.00      0.004     0.000     0.000     0.003       24   GLI::Flag#initialize
  0.00      0.000     0.000     0.000     0.000       88   BinData::SanitizedParameters#warn_replacement_parameter
  0.00      0.018     0.000     0.000     0.017       84   Bundler::SourceList#get
  0.00      0.000     0.000     0.000     0.000      100   Symbol#inspect
  0.00      0.001     0.000     0.000     0.000       86   Gem::Requirement#none?
  0.00      0.000     0.000     0.000     0.000       57   GLI::DSL#clear_nexts
  0.00      0.001     0.000     0.000     0.001       49   Bundler::Settings#[]
